sdmName,scan number
13B-409_sb25785146_2.56561.076548958335,18
13B-409_sb25785146_2.56561.076548958335,7
13B-409_sb25785146_2.56560.079294421295,56
13B-409_sb25785146_2.56560.079294421295,57
13B-409_sb25785096_2.56560.24557820602,3
13B-409_sb25785096_2.56560.24557820602,4
13B-409_sb25785096_2.56560.24557820602,5
13B-409_sb25785096_2.56560.24557820602,52
13B-409_sb25785096_2.56560.24557820602,54
13B-409_sb25785096_2.56560.24557820602,60
13B-409_sb25785196_2.56560.442762962964,11
13B-409_sb25785196_2.56560.442762962964,53
13B-409_sb25785196_2.56560.442762962964,55
13B-409_sb25785196_2.56560.442762962964,27
13B-409_sb25785196_2.56560.442762962964,61
13B-409_sb25785196_2.56560.442762962964,62
13B-409_sb25461064_1.56551.4985953125,3
13B-409_sb25461064_1.56551.4985953125,4
13B-409_sb25461064_1.56551.4985953125,5
13B-409_sb25461064_1.56551.4985953125,6
13B-409_sb25461064_1.56551.4985953125,7
13B-409_sb25461064_1.56551.4985953125,8
13B-409_sb25461064_1.56551.4985953125,9
13B-409_sb25461064_1.56551.4985953125,10
13B-409_sb25461064_1.56551.4985953125,11
13B-409_sb25461064_1.56551.4985953125,12
13B-409_sb25461064_1.56551.4985953125,13
13B-409_sb25461064_1.56551.4985953125,15
13B-409_sb25461064_1.56551.4985953125,16
13B-409_sb25461064_1.56551.4985953125,17
13B-409_sb25461064_1.56551.4985953125,18
13B-409_sb25461064_1.56551.4985953125,19
13B-409_sb25461064_1.56551.4985953125,20
13B-409_sb25461064_1.56551.4985953125,21
13B-409_sb25461064_1.56551.4985953125,22
13B-409_sb25461064_1.56551.4985953125,23
13B-409_sb25461064_1.56551.4985953125,24
13B-409_sb25461064_1.56551.4985953125,25
13B-409_sb25461064_1.56551.4985953125,27
13B-409_sb25461064_1.56551.4985953125,28
13B-409_sb25461064_1.56551.4985953125,29
13B-409_sb25461064_1.56551.4985953125,30
13B-409_sb25461064_1.56551.4985953125,31
13B-409_sb25461064_1.56551.4985953125,32
13B-409_sb25461064_1.56551.4985953125,33
13B-409_sb25461064_1.56551.4985953125,34
13B-409_sb25461064_1.56551.4985953125,35
13B-409_sb25461064_1.56551.4985953125,36
13B-409_sb25461064_1.56551.4985953125,37
13B-409_sb25461064_1.56551.4985953125,39
13B-409_sb25461064_1.56551.4985953125,40
13B-409_sb25461064_1.56551.4985953125,41
13B-409_sb25461064_1.56551.4985953125,42
13B-409_sb25461064_1.56551.4985953125,43
13B-409_sb25461064_1.56551.4985953125,44
13B-409_sb25461064_1.56551.4985953125,45
13B-409_sb25461064_1.56551.4985953125,46
13B-409_sb25461064_1.56551.4985953125,47
13B-409_sb25461064_1.56551.4985953125,48
13B-409_sb25461064_1.56551.4985953125,49
13B-409_sb25461064_1.56551.4985953125,51
13B-409_sb25461064_1.56551.4985953125,52
13B-409_sb25461064_1.56551.4985953125,53
13B-409_sb25461064_1.56551.4985953125,54
13B-409_sb25461064_1.56551.4985953125,55
13B-409_sb25461064_1.56551.4985953125,61
13B-409_sb25456623_1.56552.49599773148,3
13B-409_sb25456623_1.56552.49599773148,6
13B-409_sb25456623_1.56552.49599773148,8
13B-409_sb25456623_1.56552.49599773148,9
13B-409_sb25456623_1.56552.49599773148,11
13B-409_sb25456623_1.56552.49599773148,12
13B-409_sb25456623_1.56552.49599773148,15
13B-409_sb25456623_1.56552.49599773148,17
13B-409_sb25456623_1.56552.49599773148,22
13B-409_sb25456623_1.56552.49599773148,23
13B-409_sb25456623_1.56552.49599773148,24
128ch_002.56548.49649064815,10
128ch_002.56548.49649064815,14
128ch_002.56548.49649064815,15
128ch_002.56548.49649064815,16
128ch_002.56548.49649064815,17
128ch_002.56548.49649064815,18
128ch_002.56548.49649064815,19
128ch_002.56548.49649064815,20
128ch_002.56548.49649064815,21
128ch_002.56548.49649064815,22
128ch_002.56548.49649064815,23
128ch_002.56548.49649064815,24
128ch_002.56548.49649064815,25
128ch_002.56548.49649064815,27
128ch_002.56548.49649064815,28
128ch_002.56548.49649064815,29
128ch_002.56548.49649064815,30
128ch_002.56548.49649064815,31
128ch_002.56548.49649064815,32
128ch_002.56548.49649064815,33
128ch_002.56548.49649064815,34
128ch_002.56548.49649064815,35
128ch_002.56548.49649064815,36
128ch_002.56548.49649064815,37
128ch_002.56548.49649064815,38
128ch_002.56548.49649064815,40
128ch_002.56548.49649064815,41
128ch_002.56548.49649064815,42
128ch_002.56548.49649064815,43
128ch_002.56548.49649064815,44
128ch_002.56548.49649064815,45
128ch_002.56548.49649064815,46
128ch_002.56548.49649064815,47
128ch_002.56548.49649064815,48
128ch_002.56548.49649064815,49
128ch_002.56548.49649064815,50
128ch_002.56548.49649064815,51
128ch_002.56548.49649064815,53
128ch_002.56548.49649064815,54
128ch_002.56548.49649064815,55
128ch_002.56548.49649064815,56
128ch_002.56548.49649064815,57
128ch_002.56548.49649064815,58
128ch_002.56548.49649064815,59
128ch_002.56548.49649064815,60
128ch_002.56548.49649064815,61
128ch_002.56548.49649064815,62
128ch_002.56548.49649064815,63
128ch_002.56548.49649064815,64
13B-409_sb25461064_1.56551.4985953125,56
13B-409_sb25461064_1.56551.4985953125,57
13B-409_sb25461064_1.56551.4985953125,58
13B-409_sb25461064_1.56551.4985953125,59
13B-409_sb25461064_1.56551.4985953125,60
13B-409_sb25456623_1.56552.49599773148,4
13B-409_sb25456623_1.56552.49599773148,5
13B-409_sb25456623_1.56552.49599773148,7
13B-409_sb25456623_1.56552.49599773148,10
13B-409_sb25456623_1.56552.49599773148,13
13B-409_sb25456623_1.56552.49599773148,14
13B-409_sb25456623_1.56552.49599773148,18
13B-409_sb25456623_1.56552.49599773148,19
13B-409_sb25456623_1.56552.49599773148,20
13B-409_sb25456623_1.56552.49599773148,21
13B-409_sb25456623_1.56552.49599773148,25
13B-409_sb25456623_1.56552.49599773148,26
13B-409_sb25456623_1.56552.49599773148,27
13B-409_sb25456623_1.56552.49599773148,28
13B-409_sb25456623_1.56552.49599773148,29
13B-409_sb25456623_1_000.56553.49328289352,3
13B-409_sb25456623_1_000.56553.49328289352,4
13B-409_sb25456623_1_000.56553.49328289352,5
13B-409_sb25456623_1_000.56553.49328289352,6
13B-409_sb25456623_1_000.56553.49328289352,7
13B-409_sb25456623_1_000.56553.49328289352,8
13B-409_sb25456623_1_000.56553.49328289352,9
13B-409_sb25456623_1_000.56553.49328289352,10
13B-409_sb25456623_1_000.56553.49328289352,11
13B-409_sb25456623_1_000.56553.49328289352,12
13B-409_sb25456623_1_000.56553.49328289352,13
13B-409_sb25456623_1_000.56553.49328289352,14
